NO_OF_FRAMES	12039
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-04, 18:19:55	121210.79016594
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	2.64779	0.22122	-5.36310	0.12110	-0.03774	-0.40142	1.98128	0.99998	0.00701	0.00066	-0.00701	0.99997	0.00211	-0.00064	-0.00212	1.00000		-1.61744	4.44205	-4.78293	0.11131	0.10628	4.18082	0.18802	0.99734	-0.07290	-0.00185	0.07291	0.99734	0.00194	0.00171	-0.00207	1.00000	
2	0.01000	2.73090	0.21747	-5.34230	0.11921	-0.03772	-0.40470	1.93452	0.99997	0.00706	0.00066	-0.00706	0.99997	0.00208	-0.00064	-0.00209	1.00000		-1.51598	4.43082	-4.77861	0.10737	0.10290	4.18006	0.17705	0.99734	-0.07289	-0.00180	0.07289	0.99734	0.00187	0.00165	-0.00200	1.00000	
3	0.01500	2.87599	0.20546	-5.35465	0.11615	-0.04383	-0.39968	1.93753	0.99998	0.00698	0.00076	-0.00698	0.99997	0.00203	-0.00075	-0.00203	1.00000		-1.43943	4.40902	-4.83042	0.10224	0.10198	4.17977	0.18221	0.99734	-0.07289	-0.00178	0.07289	0.99734	0.00178	0.00165	-0.00191	1.00000	
4	0.02000	2.97974	0.22776	-5.34421	0.11554	-0.04782	-0.40046	1.92559	0.99998	0.00699	0.00083	-0.00699	0.99997	0.00202	-0.00082	-0.00202	1.00000		-1.31669	4.42549	-4.86039	0.10228	0.09699	4.17730	0.17889	0.99734	-0.07284	-0.00169	0.07285	0.99734	0.00179	0.00156	-0.00190	1.00000	
5	0.02500	3.08178	0.22691	-5.34237	0.11341	-0.05232	-0.39854	1.93005	0.99998	0.00696	0.00091	-0.00696	0.99997	0.00198	-0.00090	-0.00199	1.00000		-1.21311	4.42870	-4.88869	0.09936	0.09374	4.17722	0.18520	0.99734	-0.07284	-0.00164	0.07284	0.99734	0.00173	0.00151	-0.00185	1.00000	
6	0.03000	3.22795	0.23747	-5.35204	0.11448	-0.05813	-0.40035	1.92949	0.99998	0.00699	0.00101	-0.00699	0.99997	0.00200	-0.00100	-0.00201	1.00000		-1.08347	4.42219	-4.93212	0.09836	0.08922	4.17912	0.17604	0.99734	-0.07287	-0.00156	0.07288	0.99734	0.00172	0.00143	-0.00183	1.00000	
7	0.03500	3.34404	0.23678	-5.34886	0.11456	-0.06232	-0.40091	1.91078	0.99997	0.00700	0.00109	-0.00700	0.99997	0.00200	-0.00107	-0.00201	1.00000		-1.00166	4.41971	-4.95771	0.09759	0.08932	4.18180	0.17673	0.99734	-0.07292	-0.00156	0.07292	0.99734	0.00170	0.00143	-0.00181	1.00000	
8	0.04000	3.48757	0.23034	-5.34149	0.10873	-0.07097	-0.39517	1.91745	0.99998	0.00690	0.00124	-0.00690	0.99997	0.00190	-0.00123	-0.00191	1.00000		-0.89876	4.42818	-4.99162	0.09530	0.08272	4.17947	0.17379	0.99734	-0.07288	-0.00144	0.07288	0.99734	0.00166	0.00132	-0.00176	1.00000	
9	0.04500	3.59416	0.23492	-5.32542	0.10822	-0.07288	-0.39725	1.93437	0.99998	0.00693	0.00127	-0.00694	0.99997	0.00189	-0.00126	-0.00190	1.00000		-0.76487	4.43432	-5.03185	0.09388	0.07933	4.17863	0.17020	0.99734	-0.07287	-0.00138	0.07287	0.99734	0.00164	0.00126	-0.00174	1.00000	
10	0.05000	3.71697	0.23739	-5.32626	0.10871	-0.08071	-0.40286	1.92742	0.99997	0.00703	0.00141	-0.00703	0.99997	0.00190	-0.00140	-0.00191	1.00000		-0.65672	4.42931	-5.05601	0.09154	0.07641	4.17522	0.17418	0.99735	-0.07281	-0.00133	0.07281	0.99734	0.00160	0.00121	-0.00169	1.00000	
11	0.05500	3.84013	0.23555	-5.31503	0.10419	-0.08575	-0.40191	1.92571	0.99997	0.00701	0.00150	-0.00702	0.99997	0.00182	-0.00148	-0.00183	1.00000		-0.56095	4.43367	-5.07718	0.08912	0.07476	4.17895	0.17146	0.99734	-0.07287	-0.00130	0.07287	0.99734	0.00156	0.00119	-0.00165	1.00000	
12	0.06000	3.95652	0.22189	-5.29723	0.10353	-0.08938	-0.39924	1.91523	0.99997	0.00697	0.00156	-0.00697	0.99997	0.00181	-0.00155	-0.00182	1.00000		-0.45574	4.42467	-5.11820	0.08613	0.07213	4.17565	0.18425	0.99734	-0.07281	-0.00126	0.07282	0.99734	0.00150	0.00115	-0.00159	1.00000	
13	0.06500	4.07828	0.23317	-5.30428	0.10149	-0.09417	-0.39572	1.90552	0.99997	0.00691	0.00164	-0.00691	0.99997	0.00177	-0.00163	-0.00178	1.00000		-0.33505	4.43199	-5.13628	0.08432	0.06647	4.17738	0.17523	0.99734	-0.07284	-0.00116	0.07285	0.99734	0.00147	0.00105	-0.00155	1.00000	
14	0.07000	4.24070	0.22090	-5.29826	0.09767	-0.10631	-0.39400	1.91688	0.99997	0.00688	0.00186	-0.00688	0.99997	0.00170	-0.00184	-0.00172	1.00000		-0.22710	4.43077	-5.17130	0.08379	0.06207	4.17769	0.16222	0.99734	-0.07285	-0.00108	0.07285	0.99734	0.00146	0.00097	-0.00154	1.00000	
15	0.07500	4.30748	0.24825	-5.28201	0.10144	-0.10601	-0.39968	1.89878	0.99997	0.00698	0.00185	-0.00698	0.99997	0.00177	-0.00184	-0.00178	1.00000		-0.13321	4.44563	-5.18306	0.08247	0.06032	4.17555	0.17449	0.99735	-0.07281	-0.00105	0.07281	0.99734	0.00144	0.00095	-0.00151	1.00000	
16	0.08000	4.44244	0.23646	-5.26995	0.10037	-0.11600	-0.39961	1.89417	0.99997	0.00697	0.00202	-0.00698	0.99997	0.00175	-0.00201	-0.00177	1.00000		-0.04277	4.45371	-5.21259	0.08071	0.05953	4.17983	0.18195	0.99734	-0.07289	-0.00104	0.07289	0.99734	0.00141	0.00093	-0.00148	1.00000	
17	0.08500	4.54649	0.24570	-5.25862	0.09880	-0.11478	-0.39448	1.91331	0.99997	0.00688	0.00200	-0.00689	0.99997	0.00172	-0.00199	-0.00174	1.00000		0.08469	4.45304	-5.23025	0.07941	0.05356	4.17737	0.16736	0.99734	-0.07284	-0.00093	0.07285	0.99734	0.00139	0.00083	-0.00145	1.00000	
18	0.09000	4.67446	0.25492	-5.23711	0.09968	-0.12490	-0.39688	1.90289	0.99997	0.00693	0.00218	-0.00693	0.99997	0.00174	-0.00217	-0.00175	1.00000		0.25046	4.44850	-5.24811	0.07622	0.04676	4.17991	0.16056	0.99734	-0.07289	-0.00082	0.07289	0.99734	0.00133	0.00072	-0.00139	1.00000	
19	0.09500	4.79271	0.24671	-5.20612	0.09638	-0.12811	-0.39605	1.89173	0.99997	0.00691	0.00224	-0.00692	0.99997	0.00168	-0.00222	-0.00170	1.00000		0.35169	4.46453	-5.26749	0.07507	0.04384	4.17726	0.16547	0.99734	-0.07284	-0.00077	0.07284	0.99734	0.00131	0.00067	-0.00136	1.00000	
