#
# Run File created 5/07/2013 10:18:23 AM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.7829(x - zero)
# Ch1_Phase WP                        Moving          5.5850(x - zero)
# Ch2_WP1                             Moving          13.590(x - zero)
# Ch3_WP2                             Moving          13.255(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.313373 0.447432 0.130444 -0.035674 
1.000000 5.782945 5.584991 13.589953 13.254707 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 0.738516 0.379479 0.049449 -0.006952 
0.005000 0.658264 0.370777 0.046549 -0.008886 
0.010000 0.577046 0.362075 0.042681 -0.007597 
0.015000 0.494539 0.354663 0.039136 -0.003085 
0.020000 0.415254 0.347572 0.036880 -0.002118 
0.025000 0.334680 0.339515 0.035591 -0.004374 
0.030000 0.253462 0.330490 0.031723 -0.001796 
0.035000 0.175144 0.324045 0.029467 0.002394 
0.040000 0.095860 0.318243 0.028500 0.003683 
0.045000 0.018831 0.311797 0.027211 0.002072 
0.050000 -0.058520 0.303740 0.025277 0.001427 
0.055000 -0.133937 0.297939 0.024955 0.006584 
0.060000 -0.207098 0.293749 0.024955 0.006584 
0.065000 -0.278003 0.286981 0.024955 0.004006 
0.070000 -0.348586 0.281179 0.023021 0.003361 
0.075000 -0.415945 0.276990 0.023666 0.008518 
0.080000 -0.482016 0.274411 0.024310 0.009485 
0.085000 -0.543897 0.267965 0.025277 0.008195 
0.090000 -0.605455 0.263131 0.025599 0.004328 
0.095000 -0.663468 0.258941 0.026244 0.008195 
0.100000 -0.717936 0.258619 0.029145 0.009162 
0.105000 -0.770148 0.254429 0.031723 0.006262 
0.110000 -0.821393 0.250239 0.031078 0.005295 
0.115000 -0.869415 0.248305 0.033334 0.008518 
0.120000 -0.913570 0.247016 0.036880 0.008518 
0.125000 -0.957080 0.243793 0.040425 0.004650 
0.130000 -0.994789 0.241859 0.041392 0.003683 
0.135000 -1.027985 0.241215 0.044615 0.005939 
0.140000 -1.060537 0.243149 0.048160 0.007229 
0.145000 -1.091155 0.240892 0.051705 0.003683 
0.150000 -1.115005 0.240248 0.054928 0.001750 
0.155000 -1.139822 0.241215 0.057829 0.004972 
0.160000 -1.160449 0.243149 0.062663 0.004006 
0.165000 -1.176886 0.244115 0.066853 0.000460 
0.170000 -1.188489 0.244438 0.069431 -0.001151 
0.175000 -1.200091 0.248628 0.074588 0.002072 
0.180000 -1.206215 0.253140 0.079423 0.001750 
0.185000 -1.209760 0.256040 0.083290 -0.004052 
0.190000 -1.211049 0.259263 0.086835 -0.002440 
0.195000 -1.210083 0.264742 0.091025 -0.000829 
0.200000 -1.204604 0.270866 0.096827 -0.000829 
0.205000 -1.198158 0.276023 0.100694 -0.005341 
0.210000 -1.189778 0.280212 0.105529 -0.007275 
0.215000 -1.175597 0.288270 0.109074 -0.003730 
0.220000 -1.161094 0.295683 0.114553 -0.005986 
0.225000 -1.145946 0.300517 0.119710 -0.009531 
0.230000 -1.126930 0.305674 0.122610 -0.009531 
0.235000 -1.105659 0.313731 0.127122 -0.005986 
0.240000 -1.082453 0.320822 0.131957 -0.008886 
0.245000 -1.055058 0.327590 0.136791 -0.013721 
0.250000 -1.026051 0.335003 0.139370 -0.012754 
0.255000 -0.995756 0.344671 0.143882 -0.010820 
0.260000 -0.963526 0.351440 0.148394 -0.011465 
0.265000 -0.929685 0.357563 0.151939 -0.015654 
0.270000 -0.894555 0.364009 0.154517 -0.017266 
0.275000 -0.856201 0.374000 0.158385 -0.013076 
0.280000 -0.815270 0.380446 0.162897 -0.012754 
0.285000 -0.774983 0.388826 0.166442 -0.018877 
0.290000 -0.732117 0.393338 0.169665 -0.019844 
0.295000 -0.686351 0.403329 0.172244 -0.017910 
0.300000 -0.638007 0.413965 0.174822 -0.018555 
0.305000 -0.588373 0.421700 0.177723 -0.022423 
0.310000 -0.536806 0.428146 0.180301 -0.024679 
0.315000 -0.483950 0.436526 0.182235 -0.022100 
0.320000 -0.428515 0.445227 0.183846 -0.022423 
0.325000 -0.371791 0.452640 0.186747 -0.025968 
0.330000 -0.314422 0.457475 0.187714 -0.029513 
0.335000 -0.253831 0.466821 0.189648 -0.024679 
0.340000 -0.191628 0.475523 0.192548 -0.025968 
0.345000 -0.127491 0.481969 0.193515 -0.033058 
0.350000 -0.060776 0.487448 0.193837 -0.033381 
0.355000 0.005617 0.495183 0.196093 -0.031125 
0.360000 0.073944 0.502918 0.196416 -0.032736 
0.365000 0.143559 0.508397 0.197060 -0.037571 
0.370000 0.213497 0.513554 0.197383 -0.039504 
0.375000 0.286981 0.520644 0.198027 -0.036281 
0.380000 0.359819 0.527090 0.198672 -0.036926 
0.385000 0.432980 0.530313 0.199316 -0.042083 
