#
# Run File created 5/07/2013 1:35:53 PM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.7829(x - zero)
# Ch1_Phase WP                        Moving          5.5850(x - zero)
# Ch2_WP1                             Moving          13.590(x - zero)
# Ch3_WP2                             Moving          13.255(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.290677 0.420438 0.117822 -0.034886 
1.000000 5.782945 5.584991 13.589953 13.254707 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 0.154195 0.209308 0.078778 0.038491 
0.005000 0.162575 0.224778 0.074588 0.032690 
0.010000 0.171599 0.240570 0.069431 0.030434 
0.015000 0.179656 0.256040 0.065242 0.027211 
0.020000 0.187714 0.271188 0.060407 0.020765 
0.025000 0.196093 0.285691 0.056540 0.017220 
0.030000 0.206407 0.302129 0.053317 0.014319 
0.035000 0.216076 0.317921 0.050416 0.008840 
0.040000 0.225745 0.330490 0.045582 0.003039 
0.045000 0.236058 0.344349 0.042359 -0.001473 
0.050000 0.246694 0.359175 0.039458 -0.005341 
0.055000 0.256040 0.373033 0.036880 -0.010498 
0.060000 0.267643 0.385603 0.033979 -0.016944 
0.065000 0.277634 0.398817 0.030756 -0.022423 
0.070000 0.288914 0.414932 0.028500 -0.025323 
0.075000 0.300839 0.428468 0.027211 -0.032091 
0.080000 0.312442 0.442327 0.023988 -0.039182 
0.085000 0.323078 0.456508 0.022054 -0.044983 
0.090000 0.334358 0.472300 0.021087 -0.049818 
0.095000 0.346605 0.484547 0.019798 -0.056586 
0.100000 0.356919 0.498084 0.017542 -0.063354 
0.105000 0.366910 0.511620 0.017220 -0.069155 
0.110000 0.378190 0.527090 0.017542 -0.073990 
0.115000 0.389793 0.540627 0.016253 -0.080758 
0.120000 0.401073 0.554808 0.014964 -0.089138 
0.125000 0.414287 0.568666 0.013997 -0.095261 
0.130000 0.424278 0.583492 0.014319 -0.101063 
0.135000 0.435236 0.594128 0.014964 -0.108475 
0.140000 0.445227 0.605730 0.014319 -0.118144 
0.145000 0.455219 0.618300 0.014319 -0.122979 
0.150000 0.464565 0.630547 0.014964 -0.130392 
0.155000 0.472945 0.639571 0.016253 -0.135871 
0.160000 0.481325 0.649240 0.015286 -0.145217 
0.165000 0.489704 0.658587 0.016253 -0.151985 
0.170000 0.498406 0.669545 0.017542 -0.157464 
0.175000 0.507108 0.676635 0.018187 -0.162621 
0.180000 0.513554 0.683403 0.018831 -0.170034 
0.185000 0.518711 0.690816 0.018831 -0.176157 
0.190000 0.526446 0.699518 0.020120 -0.181314 
0.195000 0.530636 0.704675 0.021732 -0.187438 
0.200000 0.533859 0.709832 0.023021 -0.192917 
0.205000 0.539338 0.714988 0.022699 -0.196140 
0.210000 0.540627 0.721112 0.024955 -0.200652 
0.215000 0.543205 0.725624 0.026889 -0.206776 
0.220000 0.546750 0.729814 0.028500 -0.212577 
0.225000 0.548362 0.734004 0.027855 -0.215155 
0.230000 0.548684 0.738516 0.030434 -0.216767 
0.235000 0.546750 0.742706 0.032690 -0.219990 
0.240000 0.547073 0.745929 0.033979 -0.224179 
0.245000 0.544494 0.751085 0.034301 -0.227402 
0.250000 0.540627 0.754631 0.037202 -0.226758 
0.255000 0.539338 0.757853 0.039136 -0.229659 
0.260000 0.535470 0.759143 0.040747 -0.233204 
0.265000 0.530636 0.762043 0.042359 -0.231270 
0.270000 0.527735 0.764622 0.044292 -0.229981 
0.275000 0.520644 0.766233 0.046871 -0.229981 
0.280000 0.513554 0.766233 0.049127 -0.231270 
0.285000 0.506786 0.767845 0.051061 -0.229981 
0.290000 0.498728 0.768167 0.054284 -0.227402 
0.295000 0.490026 0.767200 0.057507 -0.225469 
0.300000 0.481969 0.763977 0.059440 -0.223857 
0.305000 0.472300 0.764944 0.062663 -0.219990 
0.310000 0.461020 0.764299 0.066853 -0.215478 
0.315000 0.449095 0.760110 0.070721 -0.211610 
0.320000 0.438782 0.755597 0.072010 -0.209676 
0.325000 0.428790 0.751408 0.075555 -0.205486 
0.330000 0.417510 0.747540 0.079423 -0.200330 
0.335000 0.406552 0.743350 0.084579 -0.196462 
0.340000 0.394949 0.737549 0.087802 -0.192272 
0.345000 0.382702 0.732714 0.091992 -0.186793 
0.350000 0.371744 0.726591 0.096827 -0.177447 
0.355000 0.359819 0.719178 0.101016 -0.173579 
0.360000 0.347572 0.709832 0.105529 -0.166489 
0.365000 0.335647 0.704353 0.109396 -0.160365 
0.370000 0.324367 0.696617 0.115197 -0.152630 
0.375000 0.312120 0.689527 0.119710 -0.147151 
0.380000 0.300195 0.679536 0.123577 -0.141350 
0.385000 0.290526 0.669545 0.129056 -0.131358 
0.390000 0.280212 0.659876 0.135180 -0.123946 
0.395000 0.268932 0.647629 0.140336 -0.116855 
0.400000 0.257974 0.635704 0.145815 -0.111698 
0.405000 0.247661 0.623457 0.150328 -0.102352 
0.410000 0.237992 0.612176 0.156451 -0.093972 
0.415000 0.229290 0.598318 0.161930 -0.086559 
0.420000 0.218654 0.583170 0.166765 -0.081080 
0.425000 0.209308 0.568989 0.171921 -0.073345 
0.430000 0.200606 0.554808 0.179012 -0.063032 
0.435000 0.191581 0.536759 0.183524 -0.055297 
0.440000 0.182879 0.519355 0.187714 -0.049173 
0.445000 0.173533 0.499695 0.193515 -0.042405 
0.450000 0.166442 0.481969 0.198027 -0.032736 
0.455000 0.158707 0.461020 0.204151 -0.026935 
0.460000 0.150650 0.439426 0.207696 -0.019844 
0.465000 0.144849 0.417188 0.212531 -0.013076 
0.470000 0.137436 0.398495 0.217043 -0.005019 
0.475000 0.131312 0.374323 0.221877 0.001105 
0.480000 0.125189 0.351440 0.224778 0.006906 
0.485000 0.120032 0.330490 0.228323 0.011741 
0.490000 0.114553 0.309864 0.232191 0.016575 
0.495000 0.108107 0.288914 0.235736 0.023021 
0.500000 0.102306 0.267965 0.237347 0.026244 
0.505000 0.096504 0.247016 0.240248 0.032368 
0.510000 0.092314 0.231868 0.243149 0.037524 
0.515000 0.088769 0.213497 0.244438 0.040425 
0.520000 0.085546 0.195771 0.245727 0.042359 
0.525000 0.080390 0.179334 0.246372 0.046549 
0.530000 0.076844 0.166765 0.247983 0.048805 
0.535000 0.072654 0.152584 0.248628 0.052672 
0.540000 0.069109 0.140014 0.247661 0.054284 
0.545000 0.067498 0.128089 0.246694 0.056540 
0.550000 0.064597 0.117776 0.247338 0.061696 
0.555000 0.062663 0.107462 0.246372 0.062663 
0.560000 0.059440 0.099083 0.244438 0.062019 
0.565000 0.058796 0.090381 0.242182 0.063630 
0.570000 0.056217 0.084902 0.240892 0.066853 
0.575000 0.056217 0.078778 0.238959 0.068465 
0.580000 0.054928 0.073621 0.236058 0.063308 
0.585000 0.053639 0.070076 0.232835 0.067820 
0.590000 0.053639 0.068787 0.229290 0.068787 
0.595000 0.054284 0.067820 0.226067 0.069754 
0.600000 0.053317 0.066209 0.222844 0.068787 
0.605000 0.054606 0.066531 0.217687 0.067498 
0.610000 0.055895 0.067175 0.214464 0.069109 
0.615000 0.056862 0.067175 0.210597 0.069109 
0.620000 0.057507 0.066853 0.204795 0.068465 
0.625000 0.061374 0.068787 0.198672 0.067498 
0.630000 0.063630 0.070721 0.193837 0.067820 
0.635000 0.066209 0.072977 0.189970 0.067498 
0.640000 0.071688 0.074911 0.182235 0.063952 
0.645000 0.075877 0.078778 0.177400 0.067175 
0.650000 0.079745 0.083935 0.171921 0.065886 
0.655000 0.083935 0.088125 0.166442 0.065564 
0.660000 0.089092 0.092637 0.161286 0.062663 
0.665000 0.093604 0.099727 0.154840 0.065242 
0.670000 0.100694 0.105851 0.150328 0.062986 
0.675000 0.108752 0.111008 0.145815 0.063630 
0.680000 0.114231 0.113264 0.140014 0.061696 
0.685000 0.122610 0.120676 0.133568 0.059118 
0.690000 0.131957 0.130345 0.128734 0.062341 
0.695000 0.140336 0.137436 0.123899 0.061052 
0.700000 0.149361 0.142270 0.117131 0.059118 
0.705000 0.160641 0.149683 0.112297 0.058796 
0.710000 0.170310 0.156773 0.107462 0.059440 
0.715000 0.180946 0.165153 0.102950 0.059763 
0.720000 0.189970 0.169988 0.097793 0.057507 
0.725000 0.202539 0.179979 0.091992 0.056540 
0.730000 0.212853 0.189325 0.087158 0.056540 
0.735000 0.227356 0.197060 0.083290 0.055251 
0.740000 0.238636 0.204151 0.078456 0.053639 
0.745000 0.250884 0.215109 0.072654 0.052994 
0.750000 0.263131 0.224778 0.069109 0.052672 
0.755000 0.277634 0.234124 0.065564 0.051061 
0.760000 0.290848 0.240892 0.060730 0.048482 
0.765000 0.303740 0.250561 0.057184 0.046549 
0.770000 0.318566 0.261519 0.053317 0.046871 
0.775000 0.332747 0.269899 0.049449 0.044937 
0.780000 0.347250 0.278923 0.046226 0.040747 
0.785000 0.361431 0.288270 0.043003 0.038169 
0.790000 0.376579 0.299550 0.040425 0.037202 
0.795000 0.389470 0.308897 0.037847 0.035591 
0.800000 0.403974 0.317599 0.034301 0.029145 
0.805000 0.418799 0.328879 0.030434 0.023988 
0.810000 0.432658 0.339192 0.029145 0.021410 
0.815000 0.446839 0.349184 0.026889 0.018509 
0.820000 0.461987 0.360786 0.023666 0.011096 
0.825000 0.475201 0.371744 0.022376 0.008195 
0.830000 0.490026 0.384314 0.020765 0.003039 
0.835000 0.504207 0.395272 0.018831 -0.003085 
0.840000 0.517422 0.405263 0.017220 -0.010820 
0.845000 0.529991 0.415576 0.015608 -0.016299 
0.850000 0.542561 0.429113 0.015608 -0.021133 
0.855000 0.554485 0.439104 0.014319 -0.027579 
0.860000 0.565121 0.449740 0.012708 -0.037571 
0.865000 0.576724 0.459731 0.011418 -0.043694 
0.870000 0.585748 0.472300 0.010451 -0.049818 
0.875000 0.594128 0.481969 0.010451 -0.056908 
0.880000 0.602830 0.492927 0.009485 -0.067544 
0.885000 0.610887 0.502918 0.008195 -0.073345 
0.890000 0.617978 0.515488 0.009162 -0.080436 
0.895000 0.624746 0.524190 0.009162 -0.087526 
0.900000 0.631192 0.535148 0.008518 -0.095906 
0.905000 0.633770 0.544817 0.008195 -0.103641 
0.910000 0.639249 0.557386 0.009485 -0.108475 
0.915000 0.642794 0.567700 0.009162 -0.116211 
0.920000 0.645373 0.577368 0.008195 -0.125879 
0.925000 0.645050 0.588649 0.009485 -0.134259 
0.930000 0.646984 0.598962 0.010129 -0.141027 
0.935000 0.647629 0.608953 0.012063 -0.145539 
0.940000 0.646662 0.619589 0.011418 -0.154241 
0.945000 0.644406 0.627324 0.012708 -0.159398 
0.950000 0.643439 0.636993 0.013997 -0.163588 
0.955000 0.638282 0.644728 0.015931 -0.170034 
0.960000 0.634092 0.652463 0.016575 -0.176802 
0.965000 0.631514 0.659231 0.017864 -0.179058 
0.970000 0.625390 0.666966 0.021087 -0.182281 
0.975000 0.618300 0.671478 0.022376 -0.187116 
0.980000 0.611854 0.675024 0.024310 -0.191305 
0.985000 0.603474 0.679536 0.026244 -0.192272 
0.990000 0.594128 0.683081 0.029145 -0.194851 
0.995000 0.585748 0.686949 0.032690 -0.196140 
1.000000 0.575757 0.687915 0.034624 -0.199685 
1.005000 0.565766 0.693395 0.036557 -0.200652 
1.010000 0.555130 0.696617 0.041392 -0.198718 
1.015000 0.545139 0.700485 0.045259 -0.199685 
1.020000 0.530958 0.699840 0.049449 -0.200974 
1.025000 0.520322 0.702419 0.052028 -0.199363 
1.030000 0.509042 0.704353 0.057184 -0.197107 
1.035000 0.496472 0.705964 0.062341 -0.194528 
1.040000 0.482936 0.704675 0.066209 -0.193561 
1.045000 0.469077 0.705964 0.071043 -0.191628 
1.050000 0.455219 0.703708 0.076200 -0.188727 
1.055000 0.442005 0.704997 0.081356 -0.185504 
1.060000 0.427824 0.701452 0.087480 -0.184859 
1.065000 0.414287 0.700485 0.091992 -0.184537 
1.070000 0.398817 0.698229 0.098438 -0.175513 
1.075000 0.383669 0.695651 0.105529 -0.170678 
1.080000 0.369166 0.691138 0.109396 -0.170034 
1.085000 0.354018 0.686949 0.115842 -0.163266 
1.090000 0.340159 0.681470 0.121643 -0.156497 
1.095000 0.326301 0.673090 0.128089 -0.151341 
1.100000 0.313087 0.665033 0.133891 -0.147795 
1.105000 0.299550 0.657620 0.138403 -0.143283 
1.110000 0.288270 0.649885 0.145171 -0.134581 
1.115000 0.274089 0.642150 0.151294 -0.129102 
1.120000 0.260875 0.631192 0.157096 -0.123623 
1.125000 0.248305 0.621200 0.162897 -0.116855 
1.130000 0.235091 0.611532 0.169343 -0.108153 
1.135000 0.223811 0.600574 0.175467 -0.102996 
1.140000 0.211564 0.587037 0.180623 -0.097517 
1.145000 0.201250 0.576401 0.185780 -0.089782 
1.150000 0.190614 0.566088 0.190292 -0.081725 
1.155000 0.181590 0.552229 0.196416 -0.074957 
1.160000 0.170632 0.538048 0.198994 -0.068511 
1.165000 0.160963 0.525801 0.202862 -0.061420 
1.170000 0.152584 0.513554 0.208018 -0.053041 
1.175000 0.143237 0.499695 0.212531 -0.046272 
1.180000 0.135824 0.484547 0.215109 -0.041116 
1.185000 0.127122 0.470689 0.218010 -0.033703 
1.190000 0.121321 0.457475 0.220910 -0.025646 
1.195000 0.113908 0.441682 0.223811 -0.019522 
1.200000 0.106818 0.424278 0.225422 -0.015010 
1.205000 0.100050 0.407519 0.227356 -0.005663 
1.210000 0.095537 0.391082 0.230579 0.001427 
1.215000 0.088769 0.373033 0.232513 0.008195 
1.220000 0.083612 0.355630 0.232191 0.011096 
1.225000 0.080067 0.336936 0.233480 0.019476 
1.230000 0.074588 0.321789 0.234769 0.026566 
1.235000 0.070398 0.304385 0.235736 0.032690 
1.240000 0.066531 0.288914 0.235091 0.034946 
1.245000 0.061374 0.272800 0.234769 0.042036 
1.250000 0.059763 0.260552 0.234124 0.048482 
1.255000 0.058151 0.246694 0.233480 0.053961 
1.260000 0.053961 0.233802 0.231546 0.057184 
1.265000 0.050738 0.221877 0.230257 0.063308 
1.270000 0.048160 0.211564 0.229934 0.068465 
1.275000 0.044292 0.199961 0.228645 0.072010 
1.280000 0.040747 0.191581 0.225422 0.075877 
1.285000 0.038491 0.183202 0.223489 0.079100 
1.290000 0.037524 0.178367 0.221555 0.083290 
1.295000 0.034301 0.171599 0.219621 0.087158 
1.300000 0.032045 0.165475 0.216076 0.090058 
1.305000 0.032690 0.161608 0.213497 0.092314 
1.310000 0.031078 0.161286 0.210919 0.096504 
1.315000 0.030111 0.158063 0.208018 0.099405 
1.320000 0.031723 0.156451 0.205440 0.098760 
1.325000 0.030111 0.155484 0.202217 0.101016 
1.330000 0.030111 0.158385 0.199639 0.105529 
1.335000 0.030434 0.160319 0.197383 0.108107 
1.340000 0.029467 0.161930 0.194482 0.106818 
1.345000 0.029467 0.164509 0.190614 0.107785 
1.350000 0.031401 0.170310 0.189003 0.111330 
1.355000 0.032690 0.173855 0.186425 0.107462 
1.360000 0.034301 0.179334 0.183524 0.105529 
1.365000 0.035268 0.183202 0.180623 0.107785 
1.370000 0.038169 0.191259 0.177400 0.107462 
1.375000 0.040103 0.196416 0.176111 0.105206 
1.380000 0.042359 0.201895 0.172888 0.103272 
1.385000 0.046226 0.208663 0.170632 0.103917 
1.390000 0.049449 0.217043 0.169021 0.102628 
1.395000 0.052994 0.224455 0.167087 0.101661 
1.400000 0.057507 0.232513 0.164186 0.098760 
1.405000 0.061696 0.241215 0.161930 0.097149 
1.410000 0.066853 0.250884 0.161608 0.094893 
1.415000 0.072654 0.260230 0.159352 0.093926 
1.420000 0.078133 0.267321 0.155807 0.090703 
1.425000 0.083290 0.276667 0.154840 0.088125 
1.430000 0.089736 0.285369 0.153551 0.085869 
1.435000 0.097793 0.295683 0.151939 0.084579 
1.440000 0.105206 0.303095 0.149038 0.079745 
1.445000 0.116487 0.310508 0.146138 0.076844 
1.450000 0.125833 0.317921 0.144526 0.077489 
1.455000 0.135502 0.324045 0.143559 0.072010 
1.460000 0.146460 0.329524 0.141626 0.067498 
1.465000 0.156451 0.335325 0.137436 0.066209 
1.470000 0.166765 0.341449 0.136147 0.062663 
1.475000 0.180301 0.346605 0.134535 0.058473 
1.480000 0.190614 0.350150 0.130668 0.053317 
1.485000 0.203829 0.355307 0.128412 0.051383 
1.490000 0.216720 0.359497 0.126478 0.046549 
1.495000 0.230579 0.362720 0.123899 0.043003 
1.500000 0.246372 0.364009 0.119710 0.038169 
1.505000 0.261197 0.366910 0.117453 0.035268 
1.510000 0.274411 0.369488 0.115197 0.031401 
1.515000 0.291171 0.371100 0.111652 0.025599 
1.520000 0.305996 0.370777 0.107462 0.021087 
1.525000 0.321789 0.371100 0.104562 0.015931 
1.530000 0.338226 0.373356 0.101661 0.012063 
1.535000 0.353373 0.373356 0.097471 0.007551 
1.540000 0.370133 0.372067 0.093281 0.003039 
1.545000 0.387214 0.371422 0.089092 -0.003085 
1.550000 0.406230 0.374645 0.085546 -0.007275 
1.555000 0.422989 0.374323 0.082001 -0.011142 
1.560000 0.440071 0.374645 0.076522 -0.017910 
1.565000 0.456508 0.377546 0.072332 -0.022423 
1.570000 0.472623 0.381735 0.069109 -0.027257 
1.575000 0.489704 0.383991 0.065242 -0.033381 
1.580000 0.505819 0.386892 0.061052 -0.040149 
1.585000 0.521611 0.389470 0.055251 -0.044016 
1.590000 0.536437 0.396239 0.051705 -0.048206 
1.595000 0.552229 0.400428 0.048160 -0.055297 
1.600000 0.565443 0.404941 0.044292 -0.062710 
1.605000 0.578980 0.409453 0.038813 -0.064643 
1.610000 0.591227 0.416221 0.035268 -0.063676 
1.615000 0.603152 0.421378 0.031723 -0.075279 
1.620000 0.614110 0.427824 0.026244 -0.080758 
1.625000 0.624101 0.432013 0.022054 -0.084948 
1.630000 0.634415 0.439748 0.019476 -0.088815 
1.635000 0.641183 0.442971 0.014964 -0.095906 
1.640000 0.649240 0.448128 0.011741 -0.100096 
1.645000 0.655041 0.452640 0.008195 -0.105575 
1.650000 0.659554 0.460698 0.006262 -0.109442 
1.655000 0.664388 0.465854 0.003039 -0.114921 
1.660000 0.667611 0.469400 -0.000507 -0.121690 
1.665000 0.669222 0.475846 -0.002763 -0.124268 
1.670000 0.670512 0.483903 -0.003730 -0.129102 
1.675000 0.668900 0.490349 -0.005019 -0.132325 
1.680000 0.666322 0.496150 -0.007919 -0.137482 
1.685000 0.663421 0.502918 -0.009853 -0.138771 
1.690000 0.661487 0.510653 -0.009531 -0.143606 
1.695000 0.655364 0.517422 -0.010820 -0.147473 
1.700000 0.648918 0.524512 -0.012109 -0.152952 
1.705000 0.640860 0.530958 -0.011787 -0.153919 
1.710000 0.632159 0.540304 -0.011787 -0.155853 
1.715000 0.619911 0.548362 -0.010175 -0.158431 
1.720000 0.608309 0.553519 -0.008886 -0.163910 
1.725000 0.597673 0.561898 -0.009209 -0.165199 
